北京,129.0,1020.0
北京,148.0,1020.0
北京,159.0,1020.0
北京,181.0,1021.0
北京,138.0,1022.0
北京,109.0,1022.0
北京,105.0,1022.0
北京,124.0,1023.0
北京,120.0,1024.0
北京,132.0,1024.0
北京,140.0,1025.0
北京,152.0,1026.0
北京,148.0,1026.0
北京,164.0,1026.0
北京,158.0,1025.0
北京,154.0,1025.0
北京,159.0,1025.0
北京,164.0,1026.0
北京,170.0,1027.0
北京,149.0,1027.0
北京,154.0,1028.0
北京,164.0,1028.0
北京,156.0,1027.0
北京,126.0,1028.0
北京,90.0,1027.0
北京,63.0,1027.0
北京,65.0,1026.0
北京,55.0,1026.0
北京,65.0,1025.0
北京,83.0,1024.0
北京,91.0,1024.0
北京,86.0,1024.0
北京,82.0,1024.0
北京,86.0,1024.0
北京,78.0,1023.0
北京,98.0,1023.0
北京,107.0,1022.0
北京,90.0,1021.0
北京,96.0,1020.0
北京,95.0,1020.0
北京,86.0,1020.0
北京,70.0,1020.0
北京,61.0,1020.0
北京,53.0,1021.0
北京,71.0,1022.0
北京,72.0,1022.0
北京,76.0,1023.0
北京,73.0,1023.0
北京,79.0,1023.0
北京,58.0,1023.0
北京,25.0,1023.0
北京,26.0,1024.0
北京,28.0,1024.0
北京,26.0,1025.0
北京,20.0,1026.0
北京,29.0,1027.0
北京,26.0,1027.0
北京,27.0,1028.0
北京,27.0,1029.0
北京,25.0,1030.0
北京,29.0,1031.0
北京,32.0,1030.0
北京,28.0,1030.0
北京,29.0,1030.0
北京,30.0,1030.0
北京,30.0,1031.0
北京,28.0,1032.0
北京,26.0,1032.0
北京,31.0,1033.0
北京,33.0,1034.0
北京,29.0,1034.0
北京,31.0,1035.0
北京,30.0,1035.0
北京,34.0,1035.0
北京,27.0,1035.0
北京,25.0,1035.0
北京,28.0,1035.0
北京,28.0,1035.0
北京,27.0,1034.0
北京,27.0,1035.0
北京,27.0,1034.0
北京,29.0,1035.0
北京,36.0,1035.0
北京,30.0,1035.0
北京,27.0,1035.0
北京,39.0,1034.0
北京,41.0,1032.0
北京,33.0,1032.0
北京,50.0,1031.0
北京,56.0,1031.0
北京,59.0,1031.0
北京,60.0,1032.0
北京,84.0,1033.0
北京,106.0,1033.0
北京,66.0,1033.0
北京,50.0,1034.0
